utt,spk,partner,logmel_l1,snr_db
p02_u46,p02,tstnn,0.4452,-4.19
p02_u47,p02,ce0.0,0.2501,12.51
p02_u47,p02,ce10.0,0.6963,5.25
p02_u47,p02,demucs,0.3912,-5.82
p02_u47,p02,tstnn,0.4537,-3.89
p02_u48,p02,ce0.0,0.2712,12.69
p02_u48,p02,ce10.0,0.6396,5.12
p02_u48,p02,demucs,0.397,-6.39
p02_u48,p02,tstnn,0.4422,-4.09
p02_u49,p02,ce0.0,0.5322,6.56
p02_u49,p02,ce10.0,0.7477,4.78
p02_u49,p02,demucs,0.6003,-6.46
p02_u49,p02,tstnn,0.4605,-4.37
p02_u50,p02,ce0.0,0.4159,8.76
p02_u50,p02,ce10.0,0.6539,4.98
p02_u50,p02,demucs,0.404,-6.04
p02_u50,p02,tstnn,0.4106,-4.38
p02_u51,p02,ce0.0,0.2867,12.3
p02_u51,p02,ce10.0,0.6553,5.34
p02_u51,p02,demucs,0.3699,-5.16
p02_u51,p02,tstnn,0.4288,-4.24
p02_u52,p02,ce0.0,0.3335,11.7
p02_u52,p02,ce10.0,0.6951,5.02
p02_u52,p02,demucs,0.4029,-5.82
p02_u52,p02,tstnn,0.4433,-4.04
p02_u53,p02,ce0.0,0.282,11.72
p02_u53,p02,ce10.0,0.6648,5.15
p02_u53,p02,demucs,0.4171,-6.2
p02_u53,p02,tstnn,0.4629,-4.21
p02_u54,p02,ce0.0,0.286,11.73
p02_u54,p02,ce10.0,0.6647,3.88
p02_u54,p02,demucs,0.4772,-6.99
p02_u54,p02,tstnn,0.4065,-5.39
p02_u55,p02,ce0.0,0.2919,10.89
p02_u55,p02,ce10.0,0.6431,4.78
p02_u55,p02,demucs,0.3905,-6.03
p02_u55,p02,tstnn,0.4272,-4.51
p02_u56,p02,ce0.0,0.282,12.12
p02_u56,p02,ce10.0,0.6715,5.35
p02_u56,p02,demucs,0.3783,-5.84
p02_u56,p02,tstnn,0.4615,-4.32
p02_u57,p02,ce0.0,0.3153,11.05
p02_u57,p02,ce10.0,0.6666,4.66
p02_u57,p02,demucs,0.4251,-6.38
p02_u57,p02,tstnn,0.3898,-4.78
p02_u58,p02,ce0.0,0.3994,8.18
p02_u58,p02,ce10.0,0.7022,3.68
p02_u58,p02,demucs,0.4494,-6.66
p02_u58,p02,tstnn,0.4246,-4.83
p02_u59,p02,ce0.0,0.2888,11.86
p02_u59,p02,ce10.0,0.6919,5.19
p02_u59,p02,demucs,0.3692,-5.92
p02_u59,p02,tstnn,0.4611,-4.46
p02_u60,p02,ce0.0,0.5225,7.51
p02_u60,p02,ce10.0,0.6577,5.14
p02_u60,p02,demucs,0.3869,-5.54
p02_u60,p02,tstnn,0.4002,-4.01
p02_u61,p02,ce0.0,0.2682,12.51
p02_u61,p02,ce10.0,0.6641,5.01
p02_u61,p02,demucs,0.371,-5.34
p02_u61,p02,tstnn,0.4377,-4.14
p02_u62,p02,ce0.0,0.4166,8.66
p02_u62,p02,ce10.0,0.6873,4.4
p02_u62,p02,demucs,0.4703,-6.16
p02_u62,p02,tstnn,0.4112,-4.77
p02_u63,p02,ce0.0,0.2502,11.86
p02_u63,p02,ce10.0,0.6836,5.06
p02_u63,p02,demucs,0.4222,-6.27
p02_u63,p02,tstnn,0.4651,-4.11
p02_u64,p02,ce0.0,0.2754,12.31
p02_u64,p02,ce10.0,0.7374,5.02
p02_u64,p02,demucs,0.4476,-6.17
p02_u64,p02,tstnn,0.5039,-3.99
p02_u65,p02,ce0.0,0.2872,12.2
p02_u65,p02,ce10.0,0.75,5.24
p02_u65,p02,demucs,0.4391,-6.43
p02_u65,p02,tstnn,0.5043,-4.16
p02_u66,p02,ce0.0,0.2801,12.7
p02_u66,p02,ce10.0,0.6379,5.33
p02_u66,p02,demucs,0.3507,-5.76
p02_u66,p02,tstnn,0.4109,-4.03
p02_u67,p02,ce0.0,0.2663,12.15
p02_u67,p02,ce10.0,0.6976,5.11
p02_u67,p02,demucs,0.3921,-5.61
p02_u67,p02,tstnn,0.501,-4.0
p02_u68,p02,ce0.0,0.3057,12.04
p02_u68,p02,ce10.0,0.6348,5.32
p02_u68,p02,demucs,0.3729,-5.95
p02_u68,p02,tstnn,0.4499,-3.82
p02_u69,p02,ce0.0,0.2483,12.52
p02_u69,p02,ce10.0,0.6466,4.99
p02_u69,p02,demucs,0.3689,-5.22
p02_u69,p02,tstnn,0.4204,-3.81
p02_u70,p02,ce0.0,0.3311,9.97
p02_u70,p02,ce10.0,0.6645,4.71
p02_u70,p02,demucs,0.4023,-6.22
p02_u70,p02,tstnn,0.4435,-4.15
p02_u71,p02,ce0.0,0.322,9.03
p02_u71,p02,ce10.0,0.6993,3.37
p02_u71,p02,demucs,0.5315,-7.23
p02_u71,p02,tstnn,0.4417,-5.19
p02_u72,p02,ce0.0,0.2654,12.72
p02_u72,p02,ce10.0,0.6722,5.18
p02_u72,p02,demucs,0.3612,-5.98
p02_u72,p02,tstnn,0.4367,-4.13
p02_u73,p02,ce0.0,0.3226,11.58
p02_u73,p02,ce10.0,0.6665,4.44
p02_u73,p02,demucs,0.4417,-6.03
p02_u73,p02,tstnn,0.4537,-4.08
p02_u74,p02,ce0.0,0.3096,10.33
p02_u74,p02,ce10.0,0.7061,4.38
p02_u74,p02,demucs,0.4656,-6.74
p02_u74,p02,tstnn,0.4712,-4.37
p02_u75,p02,ce0.0,0.3281,9.75
p02_u75,p02,ce10.0,0.6494,4.66
p02_u75,p02,demucs,0.3621,-5.32
p02_u75,p02,tstnn,0.4504,-4.44
p02_u76,p02,ce0.0,0.3063,11.84
p02_u76,p02,ce10.0,0.6499,4.89
p02_u76,p02,demucs,0.3749,-5.68
p02_u76,p02,tstnn,0.4369,-4.28
p02_u77,p02,ce0.0,0.3418,11.71
p02_u77,p02,ce10.0,0.6555,3.88
p02_u77,p02,demucs,0.511,-7.18
p02_u77,p02,tstnn,0.4016,-4.9
p02_u78,p02,ce0.0,0.3049,11.75
p02_u78,p02,ce10.0,0.6555,4.97
p02_u78,p02,demucs,0.4041,-5.51
p02_u78,p02,tstnn,0.4456,-4.13
p02_u79,p02,ce0.0,0.2836,11.97
p02_u79,p02,ce10.0,0.6668,5.3
p02_u79,p02,demucs,0.4119,-6.4
p02_u79,p02,tstnn,0.4222,-4.7
p02_u80,p02,ce0.0,0.3153,12.23
p02_u80,p02,ce10.0,0.7026,5.2
p02_u80,p02,demucs,0.376,-6.02
p02_u80,p02,tstnn,0.445,-4.46
p02_u81,p02,ce0.0,0.3092,11.33
p02_u81,p02,ce10.0,0.6884,3.59
p02_u81,p02,demucs,0.5427,-7.54
p02_u81,p02,tstnn,0.4451,-5.53
p02_u82,p02,ce0.0,0.3523,10.38
p02_u82,p02,ce10.0,0.7312,3.04
p02_u82,p02,demucs,0.5611,-7.22
p02_u82,p02,tstnn,0.4186,-5.53
p02_u83,p02,ce0.0,0.2891,11.06
p02_u83,p02,ce10.0,0.7526,3.55
p02_u83,p02,demucs,0.5594,-7.22
p02_u83,p02,tstnn,0.4473,-5.67
p02_u84,p02,ce0.0,0.3007,10.1
p02_u84,p02,ce10.0,0.7386,2.05
p02_u84,p02,demucs,0.5965,-7.92
p02_u84,p02,tstnn,0.4624,-5.86
p02_u85,p02,ce0.0,0.2655,11.85
p02_u85,p02,ce10.0,0.6726,4.71
p02_u85,p02,demucs,0.4724,-6.5
p02_u85,p02,tstnn,0.4239,-4.6
p02_u86,p02,ce0.0,0.3242,10.76
p02_u86,p02,ce10.0,0.7442,2.49
p02_u86,p02,demucs,0.5323,-7.38
p02_u86,p02,tstnn,0.4721,-6.03
p02_u87,p02,ce0.0,0.3538,10.47
p02_u87,p02,ce10.0,0.6855,2.88
p02_u87,p02,demucs,0.5408,-7.37
p02_u87,p02,tstnn,0.4215,-5.35
p02_u88,p02,ce0.0,0.3335,11.61
p02_u88,p02,ce10.0,0.6915,3.51
p02_u88,p02,demucs,0.5282,-7.18
p02_u88,p02,tstnn,0.4258,-5.32
p02_u89,p02,ce0.0,0.2831,11.46
p02_u89,p02,ce10.0,0.665,5.02
p02_u89,p02,demucs,0.4203,-5.34
p02_u89,p02,tstnn,0.4417,-3.86
p02_u90,p02,ce0.0,0.29,12.07
p02_u90,p02,ce10.0,0.6459,4.81
p02_u90,p02,demucs,0.4599,-6.51
p02_u90,p02,tstnn,0.4369,-4.28
p02_u91,p02,ce0.0,0.2645,11.94
p02_u91,p02,ce10.0,0.6432,4.6
p02_u91,p02,demucs,0.4034,-6.1
p02_u91,p02,tstnn,0.457,-4.31
p02_u92,p02,ce0.0,0.2994,11.13
p02_u92,p02,ce10.0,0.6848,4.82
p02_u92,p02,demucs,0.4496,-6.26
p02_u92,p02,tstnn,0.4147,-4.38
p02_u93,p02,ce0.0,0.2745,11.67
p02_u93,p02,ce10.0,0.6755,4.43
p02_u93,p02,demucs,0.4108,-6.13
p02_u93,p02,tstnn,0.4522,-4.41
p02_u94,p02,ce0.0,0.3338,10.47
p02_u94,p02,ce10.0,0.6931,4.81
p02_u94,p02,demucs,0.3772,-5.33
p02_u94,p02,tstnn,0.4187,-4.01
p02_u95,p02,ce0.0,0.2519,11.78
p02_u95,p02,ce10.0,0.6643,5.22
p02_u95,p02,demucs,0.3827,-5.93
p02_u95,p02,tstnn,0.4268,-4.47
p02_u96,p02,ce0.0,0.3056,11.22
p02_u96,p02,ce10.0,0.6373,4.23
p02_u96,p02,demucs,0.4516,-6.82
p02_u96,p02,tstnn,0.39,-4.97
p02_u97,p02,ce0.0,0.399,9.29
p02_u97,p02,ce10.0,0.7106,3.3
p02_u97,p02,demucs,0.4818,-7.53
p02_u97,p02,tstnn,0.396,-5.42
p02_u98,p02,ce0.0,0.3828,10.22
p02_u98,p02,ce10.0,0.6888,4.29
p02_u98,p02,demucs,0.4802,-6.57
p02_u98,p02,tstnn,0.4116,-5.22
p02_u99,p02,ce0.0,0.3565,10.95
p02_u99,p02,ce10.0,0.6824,4.55
p02_u99,p02,demucs,0.4217,-6.01
p02_u99,p02,tstnn,0.417,-4.58
p04_u00,p04,ce0.0,0.2855,12.73
p04_u00,p04,ce10.0,0.7557,5.9
p04_u00,p04,demucs,0.4137,-5.47
p04_u00,p04,tstnn,0.4845,-4.7
p04_u01,p04,ce0.0,0.2755,12.4
p04_u01,p04,ce10.0,0.755,5.53
p04_u01,p04,demucs,0.3785,-5.31
p04_u01,p04,tstnn,0.4568,-5.03
p04_u02,p04,ce0.0,0.2804,12.95
p04_u02,p04,ce10.0,0.7407,5.58
p04_u02,p04,demucs,0.4451,-5.21
p04_u02,p04,tstnn,0.4602,-4.99
p04_u03,p04,ce0.0,0.2872,12.29
p04_u03,p04,ce10.0,0.7039,5.99
p04_u03,p04,demucs,0.4154,-4.72
p04_u03,p04,tstnn,0.5054,-4.36
p04_u04,p04,ce0.0,0.2804,13.35
p04_u04,p04,ce10.0,0.7251,5.51
p04_u04,p04,demucs,0.3861,-5.11
p04_u04,p04,tstnn,0.5298,-4.21
p04_u05,p04,ce0.0,0.2795,12.5
p04_u05,p04,ce10.0,0.7049,5.62
p04_u05,p04,demucs,0.3661,-5.34
p04_u05,p04,tstnn,0.5166,-4.81
p04_u06,p04,ce0.0,0.3049,12.05
p04_u06,p04,ce10.0,0.7048,5.49
p04_u06,p04,demucs,0.3618,-5.0
p04_u06,p04,tstnn,0.4739,-4.84
p04_u07,p04,ce0.0,0.3095,11.84
p04_u07,p04,ce10.0,0.7245,5.65
p04_u07,p04,demucs,0.3839,-5.27
p04_u07,p04,tstnn,0.425,-5.31
p04_u08,p04,ce0.0,0.2593,12.23
p04_u08,p04,ce10.0,0.7058,5.48
p04_u08,p04,demucs,0.3889,-4.91
p04_u08,p04,tstnn,0.47,-4.72
p04_u09,p04,ce0.0,0.2963,12.2
p04_u09,p04,ce10.0,0.7741,6.1
p04_u09,p04,demucs,0.4374,-5.06
p04_u09,p04,tstnn,0.5172,-4.69
p04_u10,p04,ce0.0,0.2925,11.78
p04_u10,p04,ce10.0,0.7902,5.07
p04_u10,p04,demucs,0.3997,-5.51
p04_u10,p04,tstnn,0.4424,-5.56
p04_u11,p04,ce0.0,0.2642,12.36
p04_u11,p04,ce10.0,0.7543,5.49
p04_u11,p04,demucs,0.3469,-5.34
p04_u11,p04,tstnn,0.4649,-5.31
p04_u12,p04,ce0.0,0.3135,11.66
p04_u12,p04,ce10.0,0.7482,6.03
p04_u12,p04,demucs,0.3838,-5.0
p04_u12,p04,tstnn,0.4874,-4.69
p04_u13,p04,ce0.0,0.3557,10.98
p04_u13,p04,ce10.0,0.7989,4.88
p04_u13,p04,demucs,0.4153,-5.98
p04_u13,p04,tstnn,0.4721,-5.34
p04_u14,p04,ce0.0,0.2675,11.99
p04_u14,p04,ce10.0,0.7583,5.2
p04_u14,p04,demucs,0.3539,-5.59
p04_u14,p04,tstnn,0.4246,-5.42
p04_u15,p04,ce0.0,0.2935,11.41
p04_u15,p04,ce10.0,0.7522,4.85
p04_u15,p04,demucs,0.3709,-5.5
p04_u15,p04,tstnn,0.4747,-5.08
p04_u16,p04,ce0.0,0.2889,11.92
p04_u16,p04,ce10.0,0.7195,5.49
p04_u16,p04,demucs,0.3603,-5.34
p04_u16,p04,tstnn,0.4536,-5.23
p04_u17,p04,ce0.0,0.2831,11.58
p04_u17,p04,ce10.0,0.769,5.29
p04_u17,p04,demucs,0.407,-5.48
p04_u17,p04,tstnn,0.4454,-5.57
p04_u18,p04,ce0.0,0.277,12.35
p04_u18,p04,ce10.0,0.717,5.03
p04_u18,p04,demucs,0.3806,-5.25
p04_u18,p04,tstnn,0.4443,-5.15
p04_u19,p04,ce0.0,0.2899,12.47
p04_u19,p04,ce10.0,0.7309,5.49
p04_u19,p04,demucs,0.4039,-4.82
p04_u19,p04,tstnn,0.5062,-4.88
p04_u20,p04,ce0.0,0.2944,12.08
p04_u20,p04,ce10.0,0.7409,5.35
p04_u20,p04,demucs,0.3506,-5.18
p04_u20,p04,tstnn,0.4116,-5.44
p04_u21,p04,ce0.0,0.3022,12.69
p04_u21,p04,ce10.0,0.7888,5.44
p04_u21,p04,demucs,0.4179,-5.49
p04_u21,p04,tstnn,0.4866,-5.16
p04_u22,p04,ce0.0,0.2802,12.23
p04_u22,p04,ce10.0,0.76,5.04
p04_u22,p04,demucs,0.3796,-6.08
p04_u22,p04,tstnn,0.4103,-5.88
p04_u23,p04,ce0.0,0.2846,12.45
p04_u23,p04,ce10.0,0.7418,5.68
p04_u23,p04,demucs,0.3506,-5.42
p04_u23,p04,tstnn,0.4533,-5.4
p04_u24,p04,ce0.0,0.3179,12.74
p04_u24,p04,ce10.0,0.7729,5.5
p04_u24,p04,demucs,0.3698,-5.42
p04_u24,p04,tstnn,0.4755,-5.1
p04_u25,p04,ce0.0,0.2858,11.88
p04_u25,p04,ce10.0,0.7685,5.2
p04_u25,p04,demucs,0.3934,-5.29
p04_u25,p04,tstnn,0.4496,-5.61
p04_u26,p04,ce0.0,0.3697,12.57
p04_u26,p04,ce10.0,0.8603,5.17
p04_u26,p04,demucs,0.4821,-5.35
p04_u26,p04,tstnn,0.4815,-5.92
p04_u27,p04,ce0.0,0.2897,12.15
p04_u27,p04,ce10.0,0.7421,5.2
p04_u27,p04,demucs,0.4132,-5.93
p04_u27,p04,tstnn,0.4398,-5.49
p04_u28,p04,ce0.0,0.3048,12.25
p04_u28,p04,ce10.0,0.7507,6.19
p04_u28,p04,demucs,0.3637,-5.49
p04_u28,p04,tstnn,0.4556,-5.69
p04_u29,p04,ce0.0,0.303,12.57
p04_u29,p04,ce10.0,0.7631,6.02
p04_u29,p04,demucs,0.4703,-4.78
p04_u29,p04,tstnn,0.5545,-4.7
p04_u30,p04,ce0.0,0.3304,11.96
p04_u30,p04,ce10.0,0.7441,6.13
p04_u30,p04,demucs,0.38,-4.91
p04_u30,p04,tstnn,0.4559,-5.4
p04_u31,p04,ce0.0,0.3323,12.4
p04_u31,p04,ce10.0,0.7421,5.66
p04_u31,p04,demucs,0.3974,-5.72
p04_u31,p04,tstnn,0.4588,-5.3
p04_u32,p04,ce0.0,0.289,12.31
p04_u32,p04,ce10.0,0.7008,5.31
p04_u32,p04,demucs,0.3723,-5.61
p04_u32,p04,tstnn,0.4247,-5.27
p04_u33,p04,ce0.0,0.3093,12.35
p04_u33,p04,ce10.0,0.7232,5.5
p04_u33,p04,demucs,0.3737,-5.33
p04_u33,p04,tstnn,0.4528,-5.3
p04_u34,p04,ce0.0,0.2796,11.41
p04_u34,p04,ce10.0,0.7322,4.66
p04_u34,p04,demucs,0.3756,-5.34
p04_u34,p04,tstnn,0.4269,-5.28
p04_u35,p04,ce0.0,0.2824,12.51
p04_u35,p04,ce10.0,0.724,5.75
p04_u35,p04,demucs,0.384,-5.41
p04_u35,p04,tstnn,0.4337,-5.66
p04_u36,p04,ce0.0,0.2705,12.01
p04_u36,p04,ce10.0,0.7686,4.89
p04_u36,p04,demucs,0.3559,-5.94
p04_u36,p04,tstnn,0.4646,-5.69
p04_u37,p04,ce0.0,0.2743,12.03
p04_u37,p04,ce10.0,0.7606,5.55
p04_u37,p04,demucs,0.4458,-5.63
p04_u37,p04,tstnn,0.4732,-5.39
p04_u38,p04,ce0.0,0.3062,11.55
p04_u38,p04,ce10.0,0.7453,4.87
p04_u38,p04,demucs,0.3903,-5.39
p04_u38,p04,tstnn,0.4628,-5.46
p04_u39,p04,ce0.0,0.2455,12.16
p04_u39,p04,ce10.0,0.7391,4.85
p04_u39,p04,demucs,0.3321,-5.34
p04_u39,p04,tstnn,0.4639,-5.42
p04_u40,p04,ce0.0,0.2613,12.57
p04_u40,p04,ce10.0,0.731,5.16
p04_u40,p04,demucs,0.3686,-5.42
p04_u40,p04,tstnn,0.4943,-4.81
p04_u41,p04,ce0.0,0.2772,11.72
p04_u41,p04,ce10.0,0.821,5.17
p04_u41,p04,demucs,0.4168,-5.78
p04_u41,p04,tstnn,0.4684,-5.42
p04_u42,p04,ce0.0,0.2501,12.1
p04_u42,p04,ce10.0,0.72,5.35
p04_u42,p04,demucs,0.3484,-5.65
p04_u42,p04,tstnn,0.414,-5.43
p04_u43,p04,ce0.0,0.2592,12.28
p04_u43,p04,ce10.0,0.7106,6.02
p04_u43,p04,demucs,0.3974,-4.94
p04_u43,p04,tstnn,0.4752,-5.18
p04_u44,p04,ce0.0,0.2985,11.79
p04_u44,p04,ce10.0,0.7488,5.31
p04_u44,p04,demucs,0.3619,-5.48
p04_u44,p04,tstnn,0.481,-5.34
p04_u45,p04,ce0.0,0.2824,11.76
p04_u45,p04,ce10.0,0.7462,5.59
p04_u45,p04,demucs,0.3564,-5.19
p04_u45,p04,tstnn,0.4841,-4.91
p04_u46,p04,ce0.0,0.278,12.27
p04_u46,p04,ce10.0,0.7609,4.75
p04_u46,p04,demucs,0.3764,-5.24
p04_u46,p04,tstnn,0.4443,-5.12
p04_u47,p04,ce0.0,0.2828,12.69
p04_u47,p04,ce10.0,0.7185,5.28
p04_u47,p04,demucs,0.3949,-5.51
p04_u47,p04,tstnn,0.4509,-5.41
p04_u48,p04,ce0.0,0.3376,11.46
p04_u48,p04,ce10.0,0.7435,5.66
p04_u48,p04,demucs,0.3867,-5.64
p04_u48,p04,tstnn,0.4421,-5.66
p04_u49,p04,ce0.0,0.3414,12.04
p04_u49,p04,ce10.0,0.7826,5.03
p04_u49,p04,demucs,0.3983,-5.59
p04_u49,p04,tstnn,0.4758,-4.72
p04_u50,p04,ce0.0,0.2905,12.23
p04_u50,p04,ce10.0,0.7678,5.76
p04_u50,p04,demucs,0.3958,-5.33
p04_u50,p04,tstnn,0.4554,-5.07
p04_u51,p04,ce0.0,0.3467,11.06
p04_u51,p04,ce10.0,0.7503,5.6
p04_u51,p04,demucs,0.4087,-5.53
p04_u51,p04,tstnn,0.4756,-5.21
p04_u52,p04,ce0.0,0.2965,12.78
p04_u52,p04,ce10.0,0.7318,5.35
p04_u52,p04,demucs,0.3784,-5.26
p04_u52,p04,tstnn,0.4689,-5.0
p04_u53,p04,ce0.0,0.3195,11.48
p04_u53,p04,ce10.0,0.7708,4.92
p04_u53,p04,demucs,0.3226,-5.54
p04_u53,p04,tstnn,0.4061,-5.98
p04_u54,p04,ce0.0,0.2663,11.75
p04_u54,p04,ce10.0,0.7653,5.09
p04_u54,p04,demucs,0.4091,-5.27
p04_u54,p04,tstnn,0.4456,-5.2
p04_u55,p04,ce0.0,0.3027,11.74
p04_u55,p04,ce10.0,0.8001,4.63
p04_u55,p04,demucs,0.3778,-5.76
p04_u55,p04,tstnn,0.4417,-5.88
p04_u56,p04,ce0.0,0.3265,11.57
p04_u56,p04,ce10.0,0.7577,5.32
p04_u56,p04,demucs,0.4246,-5.68
p04_u56,p04,tstnn,0.4556,-5.18
p04_u57,p04,ce0.0,0.3515,11.2
p04_u57,p04,ce10.0,0.7559,4.62
p04_u57,p04,demucs,0.4051,-6.01
p04_u57,p04,tstnn,0.453,-5.48
p04_u58,p04,ce0.0,0.3377,9.71
p04_u58,p04,ce10.0,0.7512,4.89
p04_u58,p04,demucs,0.3458,-5.38
p04_u58,p04,tstnn,0.4352,-5.66
p04_u59,p04,ce0.0,0.3555,10.05
p04_u59,p04,ce10.0,0.7223,4.69
p04_u59,p04,demucs,0.4005,-5.42
p04_u59,p04,tstnn,0.4259,-5.97
p04_u60,p04,ce0.0,0.327,10.45
p04_u60,p04,ce10.0,0.7403,4.86
p04_u60,p04,demucs,0.3867,-5.16
p04_u60,p04,tstnn,0.5094,-4.94
p04_u61,p04,ce0.0,0.2703,11.89
p04_u61,p04,ce10.0,0.7351,4.73
p04_u61,p04,demucs,0.4144,-5.7
p04_u61,p04,tstnn,0.4736,-4.9
p04_u62,p04,ce0.0,0.2887,12.21
p04_u62,p04,ce10.0,0.7747,4.95
p04_u62,p04,demucs,0.3739,-5.63
p04_u62,p04,tstnn,0.4252,-5.82
p04_u63,p04,ce0.0,0.2913,12.81
p04_u63,p04,ce10.0,0.7387,5.48
p04_u63,p04,demucs,0.3822,-4.96
p04_u63,p04,tstnn,0.4378,-5.15
p04_u64,p04,ce0.0,0.2934,13.35
p04_u64,p04,ce10.0,0.7877,6.12
p04_u64,p04,demucs,0.3922,-5.41
p04_u64,p04,tstnn,0.437,-5.99
p04_u65,p04,ce0.0,0.2296,12.8
p04_u65,p04,ce10.0,0.7215,4.89
p04_u65,p04,demucs,0.3619,-5.74
p04_u65,p04,tstnn,0.4587,-5.75
p04_u66,p04,ce0.0,0.3231,10.76
p04_u66,p04,ce10.0,0.7657,5.03
p04_u66,p04,demucs,0.3367,-5.46
p04_u66,p04,tstnn,0.3936,-5.6
p04_u67,p04,ce0.0,0.3189,12.11
p04_u67,p04,ce10.0,0.7564,5.79
p04_u67,p04,demucs,0.4275,-5.26
p04_u67,p04,tstnn,0.4536,-6.17
p04_u68,p04,ce0.0,0.3748,9.72
p04_u68,p04,ce10.0,0.7508,5.49
p04_u68,p04,demucs,0.4111,-5.73
p04_u68,p04,tstnn,0.4385,-6.23
p04_u69,p04,ce0.0,0.242,12.43
p04_u69,p04,ce10.0,0.707,5.73
p04_u69,p04,demucs,0.374,-5.6
p04_u69,p04,tstnn,0.409,-5.61
p04_u70,p04,ce0.0,0.24,12.67
p04_u70,p04,ce10.0,0.7075,5.15
p04_u70,p04,demucs,0.3586,-5.49
p04_u70,p04,tstnn,0.4315,-5.57
p04_u71,p04,ce0.0,0.2939,11.79
p04_u71,p04,ce10.0,0.6723,6.11
p04_u71,p04,demucs,0.372,-5.39
p04_u71,p04,tstnn,0.4032,-5.73
p04_u72,p04,ce0.0,0.3892,12.04
p04_u72,p04,ce10.0,0.7611,5.55
p04_u72,p04,demucs,0.4197,-5.19
p04_u72,p04,tstnn,0.4371,-5.52
p04_u73,p04,ce0.0,0.323,10.95
p04_u73,p04,ce10.0,0.7376,5.53
p04_u73,p04,demucs,0.3734,-5.38
p04_u73,p04,tstnn,0.4432,-6.17
p04_u74,p04,ce0.0,0.3457,10.88
p04_u74,p04,ce10.0,0.7136,6.08
p04_u74,p04,demucs,0.377,-5.04
p04_u74,p04,tstnn,0.4384,-5.8
p04_u75,p04,ce0.0,0.3333,10.46
p04_u75,p04,ce10.0,0.7395,5.12
p04_u75,p04,demucs,0.4072,-5.4
p04_u75,p04,tstnn,0.443,-5.77
p04_u76,p04,ce0.0,0.3155,10.96
p04_u76,p04,ce10.0,0.78,5.16
p04_u76,p04,demucs,0.4123,-5.57
p04_u76,p04,tstnn,0.4226,-5.41
p04_u77,p04,ce0.0,0.2235,13.56
p04_u77,p04,ce10.0,0.7143,5.37
p04_u77,p04,demucs,0.3416,-5.3
p04_u77,p04,tstnn,0.4215,-5.61
p04_u78,p04,ce0.0,0.2521,12.18
p04_u78,p04,ce10.0,0.7077,4.95
p04_u78,p04,demucs,0.3622,-5.25
p04_u78,p04,tstnn,0.4824,-5.55
p04_u79,p04,ce0.0,0.2438,12.58
p04_u79,p04,ce10.0,0.7436,5.59
p04_u79,p04,demucs,0.3434,-5.32
p04_u79,p04,tstnn,0.4462,-5.95
p04_u80,p04,ce0.0,0.2805,11.83
p04_u80,p04,ce10.0,0.7035,5.71
p04_u80,p04,demucs,0.3786,-5.46
p04_u80,p04,tstnn,0.4734,-5.91
p04_u81,p04,ce0.0,0.3037,11.54
p04_u81,p04,ce10.0,0.7579,5.59
p04_u81,p04,demucs,0.4008,-5.68
p04_u81,p04,tstnn,0.4857,-6.34
p04_u82,p04,ce0.0,0.2677,12.41
p04_u82,p04,ce10.0,0.6921,5.3
p04_u82,p04,demucs,0.3571,-5.62
p04_u82,p04,tstnn,0.4309,-6.03
p04_u83,p04,ce0.0,0.3198,10.61
p04_u83,p04,ce10.0,0.7605,5.24
p04_u83,p04,demucs,0.4027,-5.37
p04_u83,p04,tstnn,0.4483,-5.69
p04_u84,p04,ce0.0,0.2767,12.2
p04_u84,p04,ce10.0,0.6845,5.61
p04_u84,p04,demucs,0.3495,-5.07
p04_u84,p04,tstnn,0.4558,-5.04
p04_u85,p04,ce0.0,0.322,11.62
p04_u85,p04,ce10.0,0.7189,5.4
p04_u85,p04,demucs,0.3758,-5.28
p04_u85,p04,tstnn,0.5412,-4.94
p04_u86,p04,ce0.0,0.2204,12.75
p04_u86,p04,ce10.0,0.688,4.77
p04_u86,p04,demucs,0.3326,-5.28
p04_u86,p04,tstnn,0.4325,-4.86
p04_u87,p04,ce0.0,0.3515,10.29
p04_u87,p04,ce10.0,0.7238,4.57
p04_u87,p04,demucs,0.355,-5.24
p04_u87,p04,tstnn,0.4414,-5.48
p04_u88,p04,ce0.0,0.3073,11.22
p04_u88,p04,ce10.0,0.6841,4.83
p04_u88,p04,demucs,0.3898,-5.0
p04_u88,p04,tstnn,0.5045,-4.65
p04_u89,p04,ce0.0,0.3042,10.06
p04_u89,p04,ce10.0,0.7988,4.62
p04_u89,p04,demucs,0.3758,-5.5
p04_u89,p04,tstnn,0.4436,-5.61
p04_u90,p04,ce0.0,0.3029,11.09
p04_u90,p04,ce10.0,0.718,5.07
p04_u90,p04,demucs,0.3554,-5.34
p04_u90,p04,tstnn,0.407,-5.82
p04_u91,p04,ce0.0,0.2577,11.16
p04_u91,p04,ce10.0,0.7339,5.19
p04_u91,p04,demucs,0.3847,-5.21
p04_u91,p04,tstnn,0.4426,-5.33
p04_u92,p04,ce0.0,0.2955,11.12
p04_u92,p04,ce10.0,0.7467,5.17
p04_u92,p04,demucs,0.3573,-5.23
p04_u92,p04,tstnn,0.4148,-5.48
p04_u93,p04,ce0.0,0.2842,12.14
p04_u93,p04,ce10.0,0.7263,6.36
p04_u93,p04,demucs,0.379,-5.09
p04_u93,p04,tstnn,0.4275,-5.72
p04_u94,p04,ce0.0,0.2651,11.52
