utt,spk,partner,logmel_l1,snr_db
p00_u29,p00,ce10.0,0.7746,2.71
p00_u29,p00,demucs,0.4254,-5.68
p00_u29,p00,tstnn,0.4148,-5.98
p00_u30,p00,ce0.0,0.3164,9.36
p00_u30,p00,ce10.0,0.7585,1.4
p00_u30,p00,demucs,0.4281,-5.47
p00_u30,p00,tstnn,0.3889,-5.66
p00_u31,p00,ce0.0,0.3439,8.93
p00_u31,p00,ce10.0,0.7868,1.88
p00_u31,p00,demucs,0.3896,-4.56
p00_u31,p00,tstnn,0.4199,-5.41
p00_u32,p00,ce0.0,0.2817,11.56
p00_u32,p00,ce10.0,0.7458,2.48
p00_u32,p00,demucs,0.3659,-5.44
p00_u32,p00,tstnn,0.3696,-5.51
p00_u33,p00,ce0.0,0.3335,11.26
p00_u33,p00,ce10.0,0.8071,3.23
p00_u33,p00,demucs,0.4449,-5.3
p00_u33,p00,tstnn,0.4243,-5.4
p00_u34,p00,ce0.0,0.3168,10.99
p00_u34,p00,ce10.0,0.7363,2.95
p00_u34,p00,demucs,0.4028,-5.21
p00_u34,p00,tstnn,0.4159,-5.83
p00_u35,p00,ce0.0,0.3107,11.01
p00_u35,p00,ce10.0,0.7346,3.28
p00_u35,p00,demucs,0.4047,-5.44
p00_u35,p00,tstnn,0.3921,-5.46
p00_u36,p00,ce0.0,0.3003,11.31
p00_u36,p00,ce10.0,0.7012,3.77
p00_u36,p00,demucs,0.3995,-5.01
p00_u36,p00,tstnn,0.3866,-5.22
p00_u37,p00,ce0.0,0.29,11.28
p00_u37,p00,ce10.0,0.6913,2.79
p00_u37,p00,demucs,0.453,-5.87
p00_u37,p00,tstnn,0.3723,-5.44
p00_u38,p00,ce0.0,0.3134,11.08
p00_u38,p00,ce10.0,0.7214,1.8
p00_u38,p00,demucs,0.397,-5.4
p00_u38,p00,tstnn,0.393,-5.27
p00_u39,p00,ce0.0,0.3306,11.22
p00_u39,p00,ce10.0,0.7764,2.29
p00_u39,p00,demucs,0.4262,-5.01
p00_u39,p00,tstnn,0.4151,-5.63
p00_u40,p00,ce0.0,0.3458,9.79
p00_u40,p00,ce10.0,0.7614,3.09
p00_u40,p00,demucs,0.4238,-5.24
p00_u40,p00,tstnn,0.4048,-5.48
p00_u41,p00,ce0.0,0.4096,9.96
p00_u41,p00,ce10.0,0.8161,3.38
p00_u41,p00,demucs,0.461,-5.12
p00_u41,p00,tstnn,0.4462,-5.46
p00_u42,p00,ce0.0,0.2748,12.6
p00_u42,p00,ce10.0,0.6949,3.24
p00_u42,p00,demucs,0.3698,-5.52
p00_u42,p00,tstnn,0.3744,-5.61
p00_u43,p00,ce0.0,0.3257,9.49
p00_u43,p00,ce10.0,0.7379,2.01
p00_u43,p00,demucs,0.3679,-5.32
p00_u43,p00,tstnn,0.3897,-5.79
p00_u44,p00,ce0.0,0.3188,11.59
p00_u44,p00,ce10.0,0.7272,1.97
p00_u44,p00,demucs,0.4311,-5.58
p00_u44,p00,tstnn,0.3924,-6.01
p00_u45,p00,ce0.0,0.3421,9.06
p00_u45,p00,ce10.0,0.7597,2.23
p00_u45,p00,demucs,0.4203,-5.73
p00_u45,p00,tstnn,0.3732,-5.76
p00_u46,p00,ce0.0,0.349,10.51
p00_u46,p00,ce10.0,0.7759,2.46
p00_u46,p00,demucs,0.4516,-5.85
p00_u46,p00,tstnn,0.3999,-5.31
p00_u47,p00,ce0.0,0.2976,10.86
p00_u47,p00,ce10.0,0.7265,2.12
p00_u47,p00,demucs,0.4028,-5.34
p00_u47,p00,tstnn,0.3978,-6.05
p00_u48,p00,ce0.0,0.3055,11.77
p00_u48,p00,ce10.0,0.7356,2.59
p00_u48,p00,demucs,0.4219,-5.52
p00_u48,p00,tstnn,0.4063,-5.99
p00_u49,p00,ce0.0,0.3019,11.73
p00_u49,p00,ce10.0,0.7525,1.93
p00_u49,p00,demucs,0.4483,-6.5
p00_u49,p00,tstnn,0.3957,-5.91
p00_u50,p00,ce0.0,0.3076,11.03
p00_u50,p00,ce10.0,0.764,3.05
p00_u50,p00,demucs,0.3925,-5.35
p00_u50,p00,tstnn,0.3937,-5.63
p00_u51,p00,ce0.0,0.323,10.16
p00_u51,p00,ce10.0,0.7099,2.73
p00_u51,p00,demucs,0.3767,-5.19
p00_u51,p00,tstnn,0.4124,-5.87
p00_u52,p00,ce0.0,0.3412,9.28
p00_u52,p00,ce10.0,0.7141,2.67
p00_u52,p00,demucs,0.4084,-5.56
p00_u52,p00,tstnn,0.4071,-6.08
p00_u53,p00,ce0.0,0.3169,9.84
p00_u53,p00,ce10.0,0.7315,2.16
p00_u53,p00,demucs,0.4028,-5.75
p00_u53,p00,tstnn,0.3791,-5.86
p00_u54,p00,ce0.0,0.3317,11.61
p00_u54,p00,ce10.0,0.7975,2.35
p00_u54,p00,demucs,0.4585,-5.81
p00_u54,p00,tstnn,0.4549,-5.63
p00_u55,p00,ce0.0,0.3304,10.76
p00_u55,p00,ce10.0,0.7844,1.87
p00_u55,p00,demucs,0.3999,-5.51
p00_u55,p00,tstnn,0.4488,-5.93
p00_u56,p00,ce0.0,0.3258,10.98
p00_u56,p00,ce10.0,0.7738,1.92
p00_u56,p00,demucs,0.417,-5.95
p00_u56,p00,tstnn,0.4277,-6.15
p00_u57,p00,ce0.0,0.3315,9.67
p00_u57,p00,ce10.0,0.7506,2.75
p00_u57,p00,demucs,0.4063,-5.64
p00_u57,p00,tstnn,0.4325,-5.97
p00_u58,p00,ce0.0,0.313,10.47
p00_u58,p00,ce10.0,0.7091,2.82
p00_u58,p00,demucs,0.4145,-5.87
p00_u58,p00,tstnn,0.4147,-6.14
p00_u59,p00,ce0.0,0.3273,9.93
p00_u59,p00,ce10.0,0.7075,2.3
p00_u59,p00,demucs,0.3797,-5.45
p00_u59,p00,tstnn,0.424,-6.63
p00_u60,p00,ce0.0,0.2831,13.0
p00_u60,p00,ce10.0,0.7083,3.66
p00_u60,p00,demucs,0.4244,-5.43
p00_u60,p00,tstnn,0.3932,-5.56
p00_u61,p00,ce0.0,0.2921,11.63
p00_u61,p00,ce10.0,0.7431,2.54
p00_u61,p00,demucs,0.4879,-6.12
p00_u61,p00,tstnn,0.4214,-6.01
p00_u62,p00,ce0.0,0.3487,9.62
p00_u62,p00,ce10.0,0.7632,1.85
p00_u62,p00,demucs,0.5155,-5.99
p00_u62,p00,tstnn,0.4095,-5.98
p00_u63,p00,ce0.0,0.315,10.37
p00_u63,p00,ce10.0,0.7433,2.42
p00_u63,p00,demucs,0.4201,-5.58
p00_u63,p00,tstnn,0.3776,-5.18
p00_u64,p00,ce0.0,0.3287,10.64
p00_u64,p00,ce10.0,0.7118,2.83
p00_u64,p00,demucs,0.402,-5.39
p00_u64,p00,tstnn,0.3923,-5.54
p00_u65,p00,ce0.0,0.3454,9.57
p00_u65,p00,ce10.0,0.7275,2.66
p00_u65,p00,demucs,0.4296,-5.38
p00_u65,p00,tstnn,0.3698,-5.54
p00_u66,p00,ce0.0,0.33,9.88
p00_u66,p00,ce10.0,0.7487,2.58
p00_u66,p00,demucs,0.4007,-5.53
p00_u66,p00,tstnn,0.3978,-5.49
p00_u67,p00,ce0.0,0.3209,10.24
p00_u67,p00,ce10.0,0.7462,2.88
p00_u67,p00,demucs,0.3902,-5.39
p00_u67,p00,tstnn,0.4028,-5.68
p00_u68,p00,ce0.0,0.343,9.97
p00_u68,p00,ce10.0,0.7576,2.21
p00_u68,p00,demucs,0.4163,-5.67
p00_u68,p00,tstnn,0.4136,-5.88
p00_u69,p00,ce0.0,0.3233,11.0
p00_u69,p00,ce10.0,0.7499,2.67
p00_u69,p00,demucs,0.4118,-5.83
p00_u69,p00,tstnn,0.4288,-6.08
p00_u70,p00,ce0.0,0.3535,9.23
p00_u70,p00,ce10.0,0.7224,2.92
p00_u70,p00,demucs,0.4181,-5.65
p00_u70,p00,tstnn,0.441,-5.88
p00_u71,p00,ce0.0,0.3648,9.55
p00_u71,p00,ce10.0,0.7765,2.08
p00_u71,p00,demucs,0.4307,-5.78
p00_u71,p00,tstnn,0.4308,-5.63
p00_u72,p00,ce0.0,0.3029,12.54
p00_u72,p00,ce10.0,0.6747,3.91
p00_u72,p00,demucs,0.4,-5.53
p00_u72,p00,tstnn,0.429,-6.11
p00_u73,p00,ce0.0,0.3772,8.32
p00_u73,p00,ce10.0,0.7973,2.46
p00_u73,p00,demucs,0.3603,-5.39
p00_u73,p00,tstnn,0.4973,-6.12
p00_u74,p00,ce0.0,0.3603,9.48
p00_u74,p00,ce10.0,0.7837,2.6
p00_u74,p00,demucs,0.35,-5.37
p00_u74,p00,tstnn,0.4582,-6.19
p00_u75,p00,ce0.0,0.3436,10.58
p00_u75,p00,ce10.0,0.7936,2.57
p00_u75,p00,demucs,0.4031,-5.19
p00_u75,p00,tstnn,0.4332,-5.87
p00_u76,p00,ce0.0,0.3105,11.96
p00_u76,p00,ce10.0,0.7187,3.98
p00_u76,p00,demucs,0.3931,-5.45
p00_u76,p00,tstnn,0.4251,-6.1
p00_u77,p00,ce0.0,0.381,9.45
p00_u77,p00,ce10.0,0.8246,1.81
p00_u77,p00,demucs,0.3438,-5.47
p00_u77,p00,tstnn,0.4802,-6.24
p00_u78,p00,ce0.0,0.3391,10.61
p00_u78,p00,ce10.0,0.7452,2.58
p00_u78,p00,demucs,0.3774,-5.56
p00_u78,p00,tstnn,0.4537,-6.05
p00_u79,p00,ce0.0,0.3132,10.02
p00_u79,p00,ce10.0,0.7435,2.43
p00_u79,p00,demucs,0.4339,-5.12
p00_u79,p00,tstnn,0.3813,-5.66
p00_u80,p00,ce0.0,0.3403,10.64
p00_u80,p00,ce10.0,0.7697,3.0
p00_u80,p00,demucs,0.4272,-5.89
p00_u80,p00,tstnn,0.4406,-5.18
p00_u81,p00,ce0.0,0.3193,9.17
p00_u81,p00,ce10.0,0.7233,2.07
p00_u81,p00,demucs,0.3566,-5.23
