condition,label,dev_cer,test_cer,best_on_dev
no_se,No SE,0.4314738057873544,0.47057694531383665,
taps_pretrained,TAPS pretrained,0.2849866304824472,0.2518270352345653,
ce_v2_lambda_0.1,CE λ=0.1,0.2783548127496804,0.24103268697834823,
ce_v2_lambda_0.5,CE λ=0.5,0.265728387634738,0.23223466811632773,
ce_v2_lambda_1.0,CE λ=1.0,0.26240852167400214,0.22796556341374571,
ce_v2_lambda_2.0,CE λ=2.0,0.2459589784247309,0.21561422339856098,
ce_v2_lambda_5.0,CE λ=5.0,0.2349247023669356,0.20208795064228433,
ce_v2_lambda_10.0,CE λ=10.0,0.23159668546877243,0.1996015945759941,yes
