asr,cond,n,cer_nopunct,cer_raw
xlsr-korean,taps_lpf4k,1000,0.2566,0.2563
xlsr-korean,taps_lpf5k,1000,0.232,0.2318
xlsr-korean,taps_lpf6k,1000,0.2245,0.2244
xlsr-korean,taps_lpf7k,1000,0.2234,0.2233
xlsr-korean,ce_lpf3k,1000,0.3673,0.3662
xlsr-korean,ce_lpf4k,1000,0.3298,0.3291
xlsr-korean,ce_lpf5k,1000,0.3295,0.3289
xlsr-korean,ce_lpf6k,1000,0.3212,0.3205
xlsr-korean,ce_lpf7k,1000,0.2901,0.2897
xlsr-korean,taps_notch,1000,0.2263,0.2262
xlsr-korean,ce_notch,1000,0.2954,0.2952
xlsr-korean,hyb_tapsLow_ceHigh,1000,0.2379,0.2378
xlsr-korean,hyb_ceLow_tapsHigh,1000,0.2505,0.2503
